"title","engine","engine_build","release_dates"
"35MM","Unity","4.6.5f1","2016"
"3D Instructor","Nebula Device","","2006"
"3on3 FreeStyle","Unreal Engine","","2017"
"3on3 FreeStyle: Rebound","Unreal Engine","","2020"
"404Sight","Unreal Engine 4","","2015"
"4089: Ghost Within","jMonkeyEngine","","2015"
"428: Shibuya Scramble","SilverWare","","2018"
"4x4 Hummer","Chrome Engine","","2007"
"5 Days a Stranger","Adventure Game Studio","2.55.560","2003"
"5089","jMonkeyEngine","","2016"
"6 Seasons and a Game","Unreal Engine 4","","2021"
"60 Parsecs!","Unity","2017.4.7f1","2018"
"60 Seconds!","Unity","5.6.3p4","2015"
"60 Seconds! Reatomized","Unity","2017.4.26f1","2019"
"6180 the moon","Unity","5.2.2f1","2014"
"7 Angels","Unity","","2022"
"7 Days to Die","Unity","2020.3.14f1",""
"7 Grand Steps: What Ancients Begat","Pygame","","2013"
"7 Mages","Unity","","2016"
"7 summer days: Youth sky","RenPy","",""
"7554: Glorious Memories Revived","Vision","","2011"
"77p egg: Eggwife","Unreal Engine 4","",""
"7th Sea: A Pirate's Pact","ChoiceScript","","2018"
"7th Sector","Unity","4.6.5f1","2019"
"8-bit Adventure Anthology: Volume I","Unity","","2017"
"8-Bit Adventures: The Forgotten Journey Remastered Edition","RPG Maker","","2015"
"8-Bit Armies","GlyphX","","2016"
"8-Bit Armies: Arena","GlyphX","","2017"
"8-Bit Bayonetta","Unity","5.5.0f3","2017"
"8-Bit Commando","LÖVE","","2011"
"80 Days (2015)","Unity","2018.4.14f1","2015"
"80 Days (2015)","Unity","5.6.5f1","2015"
"8Bit Killer","GameMaker","","2008"
"8Doors: Arum's Afterlife Adventure","Unity","2017.3.1f1","2021"
"8Doors: Arum's Afterlife Adventure","Unity","2021.1.2f1","2021"
"8infinity","Unity","5.4.1f1","2016"
"9 Clues 2: The Ward","Spark Casual Engine","","2015"
"9 Clues: The Secret of Serpent Creek","Spark Casual Engine","","2013"
"9 Years of Shadows","Unity","","2023"
"9.03m","Unreal Engine 3","","2013"
"911 Operator","Unity","5.4.1f1","2017"
"99 Levels to Hell","Unity","4.3.0f4","2013"
"99 Spirits","KiriKiri","2.30.2.416","2012"
"9th Dawn III","Unity","","2020"
"A Bewitching Revolution","Unity","","2019"
"A Bird Story","mkxp","","2014"
"A Bird Story","RPG Maker","","2014"
"A Blind Legend","Unity","5.3.4p1","2016"
"A Boy and His Blob","SilverWare","","2016"
"A Case of Distrust","Unity","5.5.0f3","2018"
"A Chair in a Room: Greenwater","Unity","","2016"
"A City Sleeps","Unity","4.5.4f1","2014"
"A Date in the Park","Adventure Game Studio","3.4.1.15","2014"
"A Fisherman's Tale","Unreal Engine 4","","2019"
"A Fistful of Gun","Multimedia Fusion","","2015"
"A Foretold Affair","Ren'Py","","2017"
"A Game of Changes","Godot","","2016"
"A Game of Thrones: The Board Game - Digital Edition","Unity","2018.4.19f1","2020"
"A Glider's Journey","Unreal Engine 4","","2019"
"A Golden Wake","Adventure Game Studio","3.5.1.14","2014"
"A Good Snowman Is Hard to Build","Puzzlescript","","2015"
"A Hat in Time","Unreal Engine 3","","2017"
"A House of Many Doors","GameMaker","","2017"
"A Kiss for the Petals - Maidens of Michael","Ren'Py","","2012"
"A Kiss for the Petals - Remembering How We Met","Ren'Py","","2015"
"A Legionary's Life","Unity","2017.4.32f1","2019"
"A Memoir Blue","Unity","","2022"
"A Midsummer Night's Choice","ChoiceScript","","2016"
"A Mortician's Tale","Unity","2017.4.8f1","2017"
"A New Beginning","Visionaire","","2010"
"A Normal Lost Phone","Unity","5.4.3f1","2017"
"A Plague Tale: Innocence","Zouna","","2019"
"A Plague Tale: Requiem","Zouna","","2022"
"A Rip in Time","Unreal Engine 4","",""
"A Robot Named Fight!","Unity","2018.3.8f1","2017"
"A Roll-Back Story","Unity","2018.1.6f1","2018"
"A Short Hike","Unity","2018.4.2f1","2019"
"A Show of Kindness","Unity","","2018"
"A Story about My Uncle","Unreal Engine 3","","2014"
"A Story of Distress","Unity","","2018"
"A Stroke of Fate: Operation Bunker","Wintermute","","2009"
"A Stroke of Fate: Operation Valkyrie","Wintermute","","2009"
"A Tale of Two Kingdoms","Adventure Game Studio","","2007"
"A Valley Without Wind","Unity","4.6.7f1","2012"
"A Valley Without Wind 2","Unity","4.6.7f1","2013"
"A Virus Named TOM","FNA","","2012"
"A Virus Named TOM","XNA","","2012"
"A Way Out","Unreal Engine 4","","2018"
"A Wild Catgirl Appears!","Ren'Py","","2015"
"A Wild Catgirl Appears!","TyranoBuilder","","2015"
"A Wild Catgirl Appears!","Unity","","2015"
"A Winter's Daydream","Ren'Py","","2018"
"A Wise Use of Time","ChoiceScript","","2015"
"A Writer and His Daughter","Unreal Engine 4","","2017"
"A Year of Rain","Unreal Engine 4","","2020"
"A.R.E.S.: Extinction Agenda","XNA","","2010"
"A.R.E.S.: Extinction Agenda EX","XNA","","2014"
"A.W.O.L.","Build","","2022"
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! - A Reckless Disregard for Gravity","Gamestudio","","2009"
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome","Unity","4.5.5p5","2011"
"Aaero","Unity","5.6.6f2","2017"
"Abode","Unity","","2016"
"About Love, Hate and the other ones","Scape","","2014"
"Absolute Drift","Unity","4.6.0b17","2015"
"Absolute Drift","Unity","5.6.0b11","2015"
"Absolute Tactics: Daughters of Mercy","Unreal Engine 4","","2022"
"Absolver","Unreal Engine 4","4.18.3.0","2017"
"Abuse","Abuse Engine","","1996"
"Abyss Odyssey","Unreal Engine 3","","2014"
"Abyss World: Apocalypse","Unreal Engine 5","",""
"Abyss: The Wraiths of Eden","Spark Casual Engine","","2012"
"Abzû","Unreal Engine 4","","2016"
"Acceleration of SUGURI","Luna3D","","2006"
"Acceleration of SUGURI 2","Luna3D","","2011"
"Acceleration of SUGURI X-Edition HD","Luna3D","","2012"
"Accounting","Unity","5.4.0b21","2016"
"ACE Academy","Ren'Py","","2016"
"Ace Combat 7: Skies Unknown","Unreal Engine 4","","2019"
"Ace of Seafood","Unity","5.6.6f2","2016"
"Ace of Spades","Voxlap","","2011"
"Acquitted","GameMaker","","2022"
"Act of Aggression","IRISZOOM","","2015"
"Acting Lessons","Ren'Py","","2019"
"Action Girlz Racing","GODS","","2005"
"Action Girlz Racing","RenderWare","","2005"
"Action Henk","Unity","4.6.4f1","2015"
"Action Taimanin","Unity","2018.4.18f1","2020"
"Actraiser Renaissance","Unity","","2021"
"Actual Sunlight","RPG Maker","","2014"
"Adaca","Unreal Engine 4","4.27","2022"
"Adam's Venture: Origins","Unity","5.3.0f4","2016"
"Adrift","Unreal Engine 4","","2016"
"Advent","RPG Maker","","2015"
"Advent Rising","Unreal Engine 2","","2005"
"Adventure Boy Cheapskate DX","Flash","","2018"
"AdVenture Capitalist","Unity","5.3.6f1","2015"
"AdVenture Communist","Unity","5.4.3f1",""
"Adventure in King Caries Land","Godot","","2019"
"Adventure in Serenia","ADL","","1982"
"Adventure Pinball: Forgotten Island","Unreal Engine 1","","2001"
"Adventure Time: Explore the Dungeon Because I Don't Know!","WF Engine","","2013"
"Adventure Time: Finn and Jake Investigations","Vicious Engine 2","","2015"
"Adventure Time: Finn and Jake's Epic Quest","Unity","4.2.2f1","2014"
"Adventure Time: Magic Man's Head Games","Unity","","2016"
"Adventure Time: Pirates of the Enchiridion","Unity","2017.3.1","2018"
"Adventure Time: The Secret of the Nameless Kingdom","WF Engine","","2014"
"AdventureQuest 3D","Unity","5.5.2p2","2016"
"Adventures of Bertram Fiddle: Episode 1: A Dreadly Business","Unity","4.6.5f1","2015"
"Adventures of Bertram Fiddle: Episode 2: A Bleaker Predicklement","Unity","5.6.4f1","2017"
"Adventures of Chris","Unity","2018.4.28f1","2020"
"Adventures of Heroes","Unity","","2017"
"Adventures of Pip","Unity","4.3.4f1","2015"
"Adventures of Quin85","Unity","",""
"Adventurezator: When Pigs Fly","Unity","4.6.7f1","2015"
"Aegis Defenders","Unity","5.6.2p4","2018"
"Aegis of Earth: Protonovus Assault","Unity","","2016"
"Aeolis Tournament","Unity","2018.4.20f1","2020"
"Aeon Command","Unity","4.5.1f3","2014"
"Aeon of Sands - The Trail","LÖVE","","2018"
"Aer: Memories of Old","Unity","5.6.1p2","2017"
"Aerannis","LÖVE","","2015"
"Aerena - Clash of Champions","Unity","4.5.5p5","2014"
"Aeterna Noctis","Unity","","2021"
"AEW Fight Forever","Unreal Engine 4","","2023"
"Affairs of the Court: Choice of Romance","ChoiceScript","","2013"
"AFL Evolution 2","Unreal Engine 4","","2020"
"After the End: The Harvest","RPG Maker","","2017"
"After the Fall","Unity","","2021"
"After the Inferno","RenPy","","2022"
"Afterfall Reconquest Episode I","Unreal Engine 3","","2015"
"Afterfall: InSanity","Unreal Engine 3","","2011"
"Afterimage","Unreal Engine 4","","2023"
"AFTERLIFE (2021)","Unity","","2021"
"AFTERLIFE: KILLING DEATH","Unity","","2022"
"Afterparty","Unity","","2019"
"AfterShock","Unreal Engine 4","",""
"Against the Storm","Unity","",""
"Agapan","RPG Maker","","2015"
"Agassi Tennis Generation","RenderWare","","2002"
"Agatha Christie: The ABC Murders","Unity","2018.4.21f1","2016"
"Agatha Christie: The ABC Murders","Unity","5.1.2p1","2016"
"Age of Chivalry","Source","","2007"
"Age of Conquest III","Java","","2010"
"Age of Empires","Genie","","1997"
"Age of Empires II (2013)","Genie","","2013"
"Age of Empires II: Definitive Edition","Genie","","2019"
"Age of Empires II: The Age of Kings","Genie","","1999"
"Age of Empires III","BANG!","","2005"
"Age of Empires III: Definitive Edition","BANG!","","2020"
"Age of Empires IV","Essence Engine","","2021"
"Age of Empires Online","BANG!","","2011"
"Age of Empires: Definitive Edition","Genie","","2018"
"Age of History II","Java","","2018"
"Age of Mythology","BANG!","","2002"
"Age of Mythology: Extended Edition","BANG!","","2014"
"Age of Pirates 2: City of Abandoned Ships","Storm","","2009"
"Age of Pirates: Caribbean Tales","Storm","","2006"
"Age of Wonders III","Creator","","2014"
"Age of Wonders: Planetfall","Creator","","2019"
"Age-Old Cities VR","Unity","","2019"
"Agent 64: Spies Never Die","Unity","",""
"Agent A: A Puzzle in Disguise","Unity","2019.4.9f1","2019"
"Agent A: A Puzzle in Disguise","Unity","2020.3.9f1","2019"
"Agent Awesome","Unity","4.6.1f1","2015"
"Agent Of Love","Unity","","2019"
"Agent Walker: Secret Journey","Spark Casual Engine","","2016"
"Aggelos","Clickteam Fusion","","2018"
"Agni: Queen of Darkness","Unreal Engine 1","","2009"
"Agony","Unreal Engine 4","","2018"
"Agony Unrated","Unreal Engine 4","","2018"
"Agricola: All Creatures Big and Small","Unity","5.6.4p1","2017"
"Agricultural Simulator 2011","Insomnia","","2010"
"Agricultural Simulator 2012","Insomnia","","2011"
"Agricultural Simulator 2013","Insomnia","","2012"
"Agricultural Simulator: Historical Farming","Insomnia","","2012"
"Ahnayro: The Dream World","Unity","5.3.5f1","2016"
"AI Rebellion","Unity","","2017"
"AI War 2","Unity","2019.1.7f1","2019"
"AI War: Fleet Command","Unity","4.2.1f4","2009"
"AI: The Somnium Files","Unity","2017.4.17f1","2019"
"AI: The Somnium Files - nirvanA Initiative","Unity","2020.3.30f1","2022"
"Aim Hero","Unity","",""
"Aim Lab","Unity","2019.2.3f1",""
"Aim Lab VR","Unity","","2021"
"Aion","CryEngine","","2012"
"Air Attack","Azul Zulu OpenJDK","","2010"
"Air Control","Unity","4.3.2f1","2014"
"Air Guardians","Unity","4.6.2f1","2015"
"AIR WARS","Unity","",""
"Airbo","Construct 2","","2018"
"Airborne Motocross","Unity","2021.2.17f1","2022"
"Airborne Troops: Countdown to D-Day","RenderWare","","2004"
"AirBuccaneers","Unity","4.2.0f4","2012"
"Airheart","Unity","2017.4.4f1","2018"
"Airis","Ren'Py","","2017"
"Airport Tycoon 3","RenderWare","","2003"
"Airscape: The Fall of Gravity","Construct 2","","2015"
"Airship Dragoon","Torque 3D","","2014"
"Aka Manto","Unity","","2019"
"Akane the Kunoichi","XNA","","2014"
"Akaneiro: Demon Hunters","Unity","4.1.5f1","2013"
"Aker Fern","Ren'Py","","2020"
"Akiba's Trip: Hellbound &amp; Debriefed","Unity","","2021"
"Akiba's Trip: Undead &amp; Undressed","PhyreEngine","","2015"
"Al Emmo and the Lost Dutchman's Mine","Adventure Game Studio","","2006"
"Alan Wake","MAX-FX","","2012"
"Alan Wake II","Northlight","","2023"
"Alan Wake Remastered","MAX-FX","","2021"
"Alan Wake's American Nightmare","MAX-FX","","2012"
"Alan's Automaton Workshop","Unity","2019.4.27f1","2022"
"Alarm for Cobra 11: Nitro","3D Landscape Engine","","2006"
"Alba: A Wildlife Adventure","Unity","2019.4.13f1","2020"
"Albedo: Eyes from Outer Space","Unity","4.3.4f1","2015"
"Albert and Otto: The Adventure Begins","Unity","","2015"
"Albion Online","Unity","","2017"
"Alchemia","Unity","5.6.3f1","2018"
"Alchemist Adventure","Unity","","2021"
"Alchemist's Castle","Unity","","2017"
"Alchemy Garden","Unreal Engine 4","",""
"Alchemy Mysteries: Prague Legends","Ogre","","2014"
"Alder's Blood","Unity","2018.4.36f1","2020"
"Alert: Sector 8","Unreal Engine 4","","2016"
"Alex Builds His Farm","Ubisoft OpenSpace","","1999"
"Alex Kidd in Miracle World DX","Unity","","2021"
"Algo Bot","Unity","2017.1.1f1","2018"
"Algotica - Iteration 1","Unity","","2017"
"Alias","RenderWare","","2004"
"Alice in Stardom","Ren'Py","","2019"
"Alice VR","Unreal Engine 4","","2016"
"Alice: Madness Returns","Unreal Engine 3","","2011"
"Alicemare","WOLF RPG Editor","","2016"
"Alien Breed 2: Assault","Unreal Engine 3","","2010"
"Alien Breed 3: Descent","Unreal Engine 3","","2010"
"Alien Breed: Impact","Unreal Engine 3","","2010"
"Alien Hallway","XNA","","2011"
"Alien Rage - Unlimited","Unreal Engine 3","","2013"
"Alien Swarm","Source","","2010"
"Alien Swarm: Reactive Drop","Source","","2017"
"Alien: Isolation","Cathode","","2014"
"Aliens versus Predator","Asura","","1999"
"Aliens versus Predator 2","LithTech","","2001"
"Aliens vs. Predator (2010)","Asura","","2010"
"Aliens: Colonial Marines","Unreal Engine 3","","2013"
"Aliens: Fireteam Elite","Unreal Engine 4","","2021"
"Alisa","Unity","","2021"
"All Is Dust","Unity","5.0.1f1","2015"
"All Our Asias","Unity","2017.3.0f3","2018"
"All You Can Eat","GameMaker","","2017"
"All Zombies Must Die!","Unreal Engine 3","","2012"
"All-Star Fruit Racing","Unreal Engine 4","","2018"
"Alliance of Valiant Arms","Unreal Engine 3","","2007"
"Alluris","Unreal Engine 4","","2019"
"Almost Home Now","Unity","","2022"
"Almost There","Unity","2018.2.11f1","2019"
"Alone in the Dark (2008)","Twilight 2","","2008"
"Alone in the Dark: Illumination","Unreal Engine 4","","2015"
"Alone in the Dark: The New Nightmare","Shadow Engine","","2001"
"Alone With You","GameMaker","","2017"
"Along the Edge","Unity","","2016"
"Alpha Kimori 1","RPG Maker","","2014"
"Alpha Polaris","Wintermute","","2015"
"Alpha Prime","Enforce","","2006"
"Alpha Protocol","Unreal Engine 3","","2010"
"Alpha Version.0","Construct 2","","2020"
"Alpha Zylon","Engine Six","","2007"
"Alt-Frequencies","Unity","2018.2.14f1","2019"
"Altar Guardian","Construct 2","","2016"
"Alter Ego","ChoiceScript","","1986"
"Alter Ego (2010)","AGDS","","2010"
"Alter World","Unity","4.6.4f1","2015"
"Altitude","LWJGL","","2009"
"Alto's Adventure","Unity","5.3.4p6","2016"
"Alto's Odyssey","Unity","","2020"
"Alucinod","Unreal Engine 4","4.22","2019"
"Alwa's Awakening","Unity","5.3.7f1","2017"
"Always Remember Me","Ren'Py","","2012"
"Always Sometimes Monsters","RPG Maker","","2014"
"Always the Same Blue Sky...","Ren'Py","6.99.11.1708","2015"
"Amalgam","Source","","2020"
"Amaze 3D","Unity","","2017"
"Amazing Princess Sarah","XNA","","2014"
"Amazing World","Unity","5.3.6p8","2014"
"Amazon: Guardians of Eden","Access","","1992"
"Amber's Magic Shop","Ren'Py","","2017"
"Ambre","Ren'Py","6.99.12.4.2187","2013"
"Ame no Marginal","Majiro","","2014"
"Ameagari no Hanaby","Unity","2017.2.1f1","2018"
"Amelie","Ren'Py","","2021"
"America's Army","Unreal Engine 2","","2002"
"America's Army 3","Unreal Engine 3","","2009"
"America's Army: Proving Grounds","Unreal Engine 3","","2015"
"American Conquest","DMCR 2","","2002"
"American Conquest: Divided Nation","DMCR 2","","2006"
"American Conquest: Fight Back","DMCR 2","","2003"
"American Fugitive","Unity","2018.4.2f1","2019"
"American McGee's Alice","id Tech 3","","2000"
"American McGee's Alice (2011)","id Tech 3","","2011"
"American McGee's Grimm","Unreal Engine 3","","2008"
"American Truck Simulator","Prism3D","","2016"
"Amerzone: The Explorer's Legacy","Phoenix VR","","1999"
"Amid Evil","Unreal Engine 4","4.24.3","2019"
"Amnesia: A Machine for Pigs","HPL Engine","","2013"
"Amnesia: Memories","Artemis Engine","","2015"
"Amnesia: Rebirth","HPL Engine","","2020"
"Amnesia: The Dark Descent","HPL Engine","","2010"
"Among the Sleep","Unity","5.6.6f2","2014"
"Among Us","Unity","2019.4.9f1","2018"
"Among Us","Unity","2020.3.22f1","2018"
"Amorous","FNA","","2018"
"Ampersand","ShiVa Engine","","2014"
"Ampersat","Unity","","2022"
"Ampu-Tea","Unity","4.3.4f1","2014"
"An Airport for Aliens Currently Run by Dogs","Unity","2019.4.20f1","2021"
"An Aspie Life","GameMaker","","2018"
"An Assassin in Orlandes","Unity","4.6.3p3","2015"
"An Elder Scrolls Legend: Battlespire","XnGine","","1997"
"An Imp? A Fiend!","GameMaker","","2015"
"An Oath to the Stars","Unity","","2017"
"An Untitled Story","GameMaker","","2007"
"Anachronox","id Tech 2","","2001"
"Analogue: A Hate Story","Ren'Py","6.13.11.1715","2012"
"Anarchy Arcade","Source","",""
"Anarcute","Unity","5.2.2f1","2016"
"Ancestors Legacy","Unreal Engine 4","","2018"
"Ancestors: The Humankind Odyssey","Unreal Engine 4","","2019"
"Anchorhead","Inform","","2018"
"Ancient Siberia","Unity","","2017"
"And Yet It Moves","Torque 2D","","2009"
"Andarilho","Unity","","2020"
"Angel Light The Elven Truce","Unity","",""
"Angelo and Deemon: One Hell of a Quest","Unity","2020.3.18f1","2019"
"Angels &amp; Demigods","Unity","5.3.6f1","2016"
"Angels Fall First","Unreal Engine 3","",""
"Angels of Fasaria: Version 2.0","RPG Maker","","2014"
"Angry Birds 2","Unity","","2019"
"Angry Video Game Nerd Adventures","Multimedia Fusion","","2013"
"Angry Video Game Nerd II: ASSimilation","Unity","","2016"
"Anima: Gate of Memories","Unity","5.3.1p2","2016"
"Animal Lover","Ren'Py","","2017"
"Animal Super Squad","Unreal Engine 4","","2019"
"Anime Artist","Unity","","2019"
"Ankh - Anniversary Edition","Ogre","","2005"
"Ankh - Anniversary Edition","PINA","","2005"
"Ankh: Battle of the Gods","Ogre","","2007"
"Ankh: Battle of the Gods","PINA","","2007"
"Ankh: Heart of Osiris","Ogre","","2006"
"Ankh: Heart of Osiris","PINA","","2006"
"Anmynor Puzzles","Unity","3.5.2f2","2014"
"Anna - Extended Edition","Unity","3.5.6f4","2012"
"Anna - Extended Edition","Unity","4.1.5f1","2012"
"Anna - Extended Edition","Unity","4.2.1f4","2012"
"Anna's Quest","Adventure Game Studio","","2015"
"Anna's Quest","Visionaire","","2015"
"Annie: Last Hope","Unity","",""
"Anno 1404","RD3D","","2009"
"Anno 1701","RD3D","","2006"
"Anno 1800","RD3D","","2019"
"Anno 2070","RD3D","","2011"
"Annwn: The Otherworld","Unity","2018.3.3f1","2018"
"Anodyne","Adobe AIR","","2013"
"Anodyne 2: Return to Dust","Unity","2017.4.31f1","2019"
"Anomaly 2","Liquid","","2013"
"Anomaly Korea","Liquid","","2013"
"Anomaly Warzone Earth","Liquid","","2011"
"Anomaly Warzone Earth Mobile Campaign","Liquid","","2013"
"Anonymous;Code","Kaleido ADV Workshop","",""
"Another Lost Phone: Laura's Story","Unity","5.6.1f1","2017"
"Another Metroid 2 Remake: Return of Samus","GameMaker","","2016"
"Another Perspective","GameMaker","","2014"
"Another World Quest","Unity","","2022"
"Ant Queen","Unity","","2016"
"Antenna","Construct 2","","2016"
"Anthem","Frostbite 3","","2019"
"Anthology of Fear","Unity","","2023"
"Antichamber","Unreal Engine 3","","2013"
"Antigraviator","Unity","","2018"
"Antihero","Adobe AIR","","2017"
"Antisquad","Unity","4.6.8f1","2014"
"AntVentor","Unity","","2018"
"Antz Extreme Racing","RenderWare","","2002"
"Anvil Saga","Unity","",""
"Aokana - EXTRA1","BGI/Ethornell","","2017"
"Aokana - Four Rhythms Across the Blue","BGI/Ethornell","","2014"
"Aozora Meikyuu","Ren'Py","6.99.9.1168","2016"
"APB Reloaded","Unreal Engine 3","","2010"
"Ape Out","Unity","2018.2.21f1","2019"
"Aperture Desk Job","Source 2","","2022"
"Aperture Hand Lab","Unity","2018.2.10f1","2019"
"Aperture Tag: The Paint Gun Testing Initiative","Source","","2014"
"Apex Legends","Source","","2019"
"Apocalypse: Legacy Edition","Unity","2017.2.0f3","2018"
"Apocalyptica","Evolution (Extreme FX)","","2003"
"Aporia: Beyond The Valley","CryEngine V","","2017"
"Apotheon","FNA","","2015"
"Apotheon","XNA","","2015"
"APOX","Ogre","","2011"
"Apple Jack 1&amp;2","XNA","","2017"
"Apple Slash","Unity","","2020"
"Appointment With FEAR","Unity","4.5.5f1","2014"
"Apsulov: End of Gods","Unreal Engine 4","","2019"
"Aqua Kitty: Milk Mine Defender","XNA","","2013"
"AquaNox","KRASS Engine","","2001"
"AquaNox 2: Revelation","KRASS Engine","","2003"
"Aquanox: Deep Descent","Unreal Engine 4","","2020"
"AR-K","Unity","4.5.5p5","2014"
"AR-K","Unity","4.6.1f1","2014"
"Ara Fell","RPG Maker","","2016"
"Ara Fell","Unity","2019.2.17f1","2016"
"Aragami","Unity","5.5.1p4","2016"
"Aragami 2","Unity","","2021"
"Araya","Unity","","2016"
"ARC Raiders","Unreal Engine","","2023"
"Arcade Classics Anniversary Collection","Arcade Archives","","2019"
"Arcade Game Series: Dig Dug","Unity","5.1.3f1","2016"
"Arcade Game Series: Galaga","Unity","5.1.3f1","2016"
"Arcade Game Series: Ms. Pac-Man","Unity","5.1.3f1","2016"
"Arcade Game Series: Pac-Man","Unity","5.1.3f1","2016"
"Arcade Moonlander","Unity","2018.3.0f2","2017"
"Arcadegeddon","Unreal Engine 4","","2022"
"Arcane PreRaise","RPG Maker","","2017"
"Arcane ReRaise","RPG Maker","","2017"
"Arcania: Fall of Setarrif","Vision","","2011"
"Arcania: Gothic 4","Vision","","2010"
"ArcheAge","CryEngine 3","","2014"
"Archeblade","Unreal Engine 3","","2014"
"Archipelago","Godot","","2016"
"Archmage","Torque 2D","","2007"
"Arctic Adventure","FAST","","1991"
"Arcturus: The Curse and Loss of Divinity","Game Framework Class","","2000"
"Are You Smarter Than a 5th Grader?","Playground","","2007"
"Are You Smarter Than a 5th Grader? (2022)","Unreal Engine 4","","2022"
"Arena Gods","Unity","",""
"Arena of Fate","CryEngine (4th generation)","",""
"Argo","Real Virtuality","","2017"
"Arid","Unreal Engine 4","4.25.4.0","2021"
"Arida: Backland's Awakening","Unity","2018.3.8f1","2019"
"Arietta of Spirits","GameMaker","","2021"
"Arise: A Simple Story","Unreal Engine 4","","2019"
"Arizona Sunshine","Unity","","2016"
"ARK II","Unreal Engine 5","","2024"
"ARK: Survival Evolved","Unreal Engine 4","4.5.1.0","2017"
"Arkham Horror: Mother's Embrace","Unity","2018.4.24f1","2021"
"Arktika.1","4A Engine","","2017"
"Arma 2","Real Virtuality","","2009"
"Arma 3","Real Virtuality","","2013"
"Arma Reforger","Enfusion","",""
"Arma Tactics","Unity","5.3.6p2","2013"
"Arma: Armed Assault","Real Virtuality","","2006"
"Arma: Cold War Assault","Real Virtuality","","2001"
"Armed Forces Corp.","Lithtech Jupiter EX","","2009"
"Armello","Unity","2017.3.0f3","2015"
"Armello","Unity","2018.1.0f2","2015"
"Armello","Unity","2019.4.11f1","2015"
"Armikrog","Unity","4.5.5f1","2015"
"Armor of Heroes","Unity","","2020"
"Armored Warfare","CryEngine (4th generation)","","2015"
"Army Gals","Ren'Py","","2017"
"Army Men: RTS","Zero","","2002"
"Army Men: Sarge's War","RenderWare","","2004"
"Army of Tentacles: (Not) A Cthulhu Dating Sim","Ren'Py","7.3.2.320","2016"
"Army Ranger: Mogadishu","Lithtech Jupiter","","2005"
"Arrog","Unity","2018.4.11f1","2019"
"Arrow Heads","Unity","","2017"
"Arsenal of Democracy: A Hearts of Iron Game","Europa","","2010"
"Art of Gravity","Unity","5.5.0f3","2017"
"Art of Guile","Ogre","",""
"Art of Murder - Cards of Destiny","Virtools","","2009"
"Art of Murder - FBI Confidential","Wintermute","","2008"
"Art of Murder - Hunt for the Puppeteer","Virtools","","2009"
"Art of Rally","Unity","2019.4.38f1","2020"
"Art Sqool","Unity","2018.3.0f2","2019"
"Artemis: God-Queen of The Hunt","Unity","2018.3.6f1","2019"
"Arthur's Birthday","Mohawk Engine","","1994"
"Arthur's Teacher Trouble","Mohawk Engine","","1994"
